onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.015	0.1	fixation	n/a	184.5	78.0	769.0	n/a	n/a	n/a	n/a
2.048	0.0	trigger_104	104	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.05	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.058	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.117	0.07	saccade	n/a	185.6	88.1	n/a	372.8	312.8	11.69	270.0
2.189	0.252	fixation	n/a	395.0	319.8	860.0	n/a	n/a	n/a	n/a
2.443	0.012	saccade	n/a	398.4	314.6	n/a	406.6	289.3	1.07	100.0
2.457	0.298	fixation	n/a	406.6	296.6	802.0	n/a	n/a	n/a	n/a
2.757	0.152	saccade	n/a	407.6	302.2	n/a	393.2	295.9	0.63	925.0
2.787	0.09	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.911	0.404	fixation	n/a	398.2	288.7	723.0	n/a	n/a	n/a	n/a
3.317	0.06	saccade	n/a	396.1	278.6	n/a	208.0	55.9	11.7	323.0
3.379	0.47	fixation	n/a	217.8	63.8	720.0	n/a	n/a	n/a	n/a
3.851	0.05	saccade	n/a	217.0	66.0	n/a	358.4	189.6	7.55	313.0
3.903	0.36	fixation	n/a	356.1	181.1	842.0	n/a	n/a	n/a	n/a
4.265	0.054	saccade	n/a	354.9	180.8	n/a	174.8	92.8	8.0	379.0
4.321	0.094	fixation	n/a	164.6	90.3	886.0	n/a	n/a	n/a	n/a
4.417	0.028	saccade	n/a	160.7	91.4	n/a	92.7	79.7	2.68	268.0
4.447	0.196	fixation	n/a	101.3	81.5	822.0	n/a	n/a	n/a	n/a
4.645	0.024	saccade	n/a	101.9	80.0	n/a	167.8	75.7	2.57	214.0
4.671	0.186	fixation	n/a	161.1	77.7	779.0	n/a	n/a	n/a	n/a
4.859	0.026	saccade	n/a	162.7	79.1	n/a	248.4	82.0	3.39	268.0
4.887	0.248	fixation	n/a	243.8	82.7	834.0	n/a	n/a	n/a	n/a
5.137	0.022	saccade	n/a	243.7	83.5	n/a	313.7	84.9	2.8	220.0
5.161	0.286	fixation	n/a	309.4	85.7	851.0	n/a	n/a	n/a	n/a
5.449	0.026	saccade	n/a	308.4	86.0	n/a	406.1	84.0	3.93	270.0
5.477	0.264	fixation	n/a	399.2	84.4	839.0	n/a	n/a	n/a	n/a
5.743	0.02	saccade	n/a	398.3	86.4	n/a	458.4	82.9	2.42	196.0
5.765	0.25	fixation	n/a	455.6	84.0	842.0	n/a	n/a	n/a	n/a
6.017	0.02	saccade	n/a	456.5	87.7	n/a	513.1	85.8	2.27	179.0
6.039	0.254	fixation	n/a	510.4	85.8	867.0	n/a	n/a	n/a	n/a
6.295	0.024	saccade	n/a	508.9	87.4	n/a	575.7	87.5	2.66	191.0
6.321	0.16	fixation	n/a	566.1	86.1	894.0	n/a	n/a	n/a	n/a
6.483	0.07	saccade	n/a	563.1	84.7	n/a	146.2	142.5	16.61	488.0
6.555	0.156	fixation	n/a	137.1	145.1	959.0	n/a	n/a	n/a	n/a
6.713	0.02	saccade	n/a	134.2	145.1	n/a	107.8	147.4	1.03	123.0
6.735	0.218	fixation	n/a	114.2	147.7	980.0	n/a	n/a	n/a	n/a
6.955	0.024	saccade	n/a	112.8	147.8	n/a	198.5	144.1	3.36	275.0
6.981	0.234	fixation	n/a	188.7	145.2	938.0	n/a	n/a	n/a	n/a
7.217	0.026	saccade	n/a	189.8	147.7	n/a	283.8	141.5	3.74	284.0
7.245	0.34	fixation	n/a	278.6	142.5	972.0	n/a	n/a	n/a	n/a
7.587	0.008	saccade	n/a	275.8	142.0	n/a	260.0	142.5	0.63	74.0
7.597	0.094	fixation	n/a	262.8	145.2	983.0	n/a	n/a	n/a	n/a
7.693	0.028	saccade	n/a	263.6	147.4	n/a	372.4	143.4	4.36	292.0
7.723	0.196	fixation	n/a	366.7	143.8	957.0	n/a	n/a	n/a	n/a
7.921	0.022	saccade	n/a	367.4	145.4	n/a	428.8	144.4	2.48	206.0
7.945	0.322	fixation	n/a	418.1	141.3	977.0	n/a	n/a	n/a	n/a
