onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.022	2.354	fixation	n/a	412.2	311.4	912.0	n/a	n/a	n/a	n/a
2.056	0.0	trigger_95	95	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.06	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.062	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.378	0.052	saccade	n/a	404.2	322.4	n/a	217.9	86.2	12.05	360.0
4.432	0.092	fixation	n/a	223.3	88.7	827.0	n/a	n/a	n/a	n/a
4.526	0.022	saccade	n/a	224.7	89.0	n/a	146.5	78.8	3.11	249.0
4.55	0.068	fixation	n/a	152.1	81.3	828.0	n/a	n/a	n/a	n/a
4.62	0.02	saccade	n/a	151.6	81.2	n/a	114.0	75.8	1.48	136.0
4.642	0.15	fixation	n/a	121.3	75.4	806.0	n/a	n/a	n/a	n/a
4.794	0.006	saccade	n/a	120.4	73.8	n/a	108.9	73.2	0.45	64.0
4.802	0.196	fixation	n/a	107.7	75.5	808.0	n/a	n/a	n/a	n/a
5.0	0.164	saccade	n/a	114.6	82.3	n/a	166.5	58.9	2.23	1052.0
5.022	0.11	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.166	0.454	fixation	n/a	165.7	71.8	835.0	n/a	n/a	n/a	n/a
5.622	0.016	saccade	n/a	168.8	74.1	n/a	203.3	72.4	1.36	124.0
5.64	0.234	fixation	n/a	205.2	75.6	833.0	n/a	n/a	n/a	n/a
5.876	0.016	saccade	n/a	205.6	81.4	n/a	237.8	84.4	1.28	99.0
5.894	0.154	fixation	n/a	238.5	86.3	898.0	n/a	n/a	n/a	n/a
6.05	0.018	saccade	n/a	237.0	86.8	n/a	280.0	89.7	1.72	139.0
6.07	0.222	fixation	n/a	280.9	89.3	911.0	n/a	n/a	n/a	n/a
6.294	0.016	saccade	n/a	281.4	92.3	n/a	314.4	89.8	1.33	116.0
6.312	0.204	fixation	n/a	313.7	88.3	919.0	n/a	n/a	n/a	n/a
6.382	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.384	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.518	0.02	saccade	n/a	313.4	89.9	n/a	356.4	92.2	1.73	136.0
6.54	0.204	fixation	n/a	360.5	92.0	953.0	n/a	n/a	n/a	n/a
6.746	0.016	saccade	n/a	359.2	96.2	n/a	391.4	95.9	1.3	121.0
6.764	0.204	fixation	n/a	391.8	97.3	962.0	n/a	n/a	n/a	n/a
6.97	0.118	saccade	n/a	387.2	109.2	n/a	393.0	100.5	0.43	572.0
7.008	0.022	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.09	0.192	fixation	n/a	392.7	104.6	931.0	n/a	n/a	n/a	n/a
7.284	0.028	saccade	n/a	393.2	106.4	n/a	297.4	97.6	3.87	213.0
7.314	0.216	fixation	n/a	299.9	98.1	930.0	n/a	n/a	n/a	n/a
7.532	0.044	saccade	n/a	301.8	96.0	n/a	105.4	86.7	7.74	307.0
7.578	0.264	fixation	n/a	117.9	85.4	890.0	n/a	n/a	n/a	n/a
7.844	0.01	saccade	n/a	118.8	84.7	n/a	100.3	84.4	0.72	81.0
7.856	0.42	fixation	n/a	98.3	86.6	904.0	n/a	n/a	n/a	n/a
8.278	0.018	saccade	n/a	100.1	88.0	n/a	149.2	85.7	1.91	165.0
8.298	0.272	fixation	n/a	148.1	83.8	952.0	n/a	n/a	n/a	n/a
8.572	0.022	saccade	n/a	149.7	88.8	n/a	94.3	79.9	2.18	182.0
8.596	0.178	fixation	n/a	102.8	81.5	948.0	n/a	n/a	n/a	n/a
8.776	0.018	saccade	n/a	102.6	81.6	n/a	151.3	81.7	1.89	150.0
8.796	0.262	fixation	n/a	153.8	77.5	908.0	n/a	n/a	n/a	n/a
9.06	0.02	saccade	n/a	153.6	80.3	n/a	203.2	92.9	2.01	172.0
9.082	0.188	fixation	n/a	206.3	91.0	938.0	n/a	n/a	n/a	n/a
9.272	0.016	saccade	n/a	206.9	91.4	n/a	244.6	89.5	1.5	125.0
9.29	0.168	fixation	n/a	242.0	92.1	960.0	n/a	n/a	n/a	n/a
9.46	0.074	saccade	n/a	241.5	100.2	n/a	219.4	85.5	1.06	189.0
9.536	0.172	fixation	n/a	219.7	95.0	957.0	n/a	n/a	n/a	n/a
9.71	0.02	saccade	n/a	219.9	93.5	n/a	273.2	93.3	2.12	152.0
9.732	0.156	fixation	n/a	273.4	90.6	957.0	n/a	n/a	n/a	n/a
9.89	0.02	saccade	n/a	270.5	90.5	n/a	324.9	92.6	2.18	166.0
9.912	0.262	fixation	n/a	328.8	87.9	953.0	n/a	n/a	n/a	n/a
10.03	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.038	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.176	0.018	saccade	n/a	329.5	86.0	n/a	372.2	90.4	1.73	135.0
10.196	0.14	fixation	n/a	376.6	89.7	943.0	n/a	n/a	n/a	n/a
10.338	0.018	saccade	n/a	376.9	88.6	n/a	340.0	83.1	1.5	136.0
10.358	0.308	fixation	n/a	346.6	86.7	918.0	n/a	n/a	n/a	n/a
10.668	0.012	saccade	n/a	348.4	87.6	n/a	377.5	90.3	1.18	109.0
10.682	0.17	fixation	n/a	379.7	89.8	908.0	n/a	n/a	n/a	n/a
10.854	0.016	saccade	n/a	378.6	90.3	n/a	412.3	91.9	1.36	117.0
10.872	0.18	fixation	n/a	414.5	86.9	900.0	n/a	n/a	n/a	n/a
