onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.04	0.172	fixation	n/a	180.6	390.8	838.0	n/a	n/a	n/a	n/a
2.076	0.0	trigger_116	116	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.076	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.092	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.214	0.008	saccade	n/a	178.6	389.4	n/a	165.0	394.8	0.56	72.0
2.224	0.04	fixation	n/a	164.8	395.1	858.0	n/a	n/a	n/a	n/a
2.266	0.042	saccade	n/a	164.2	394.3	n/a	282.1	388.7	4.58	309.0
2.31	0.398	fixation	n/a	300.2	388.2	866.0	n/a	n/a	n/a	n/a
2.71	0.016	saccade	n/a	303.1	386.1	n/a	271.8	388.1	1.23	121.0
2.728	0.152	fixation	n/a	275.8	390.7	890.0	n/a	n/a	n/a	n/a
2.882	0.208	saccade	n/a	278.1	392.9	n/a	233.6	70.6	12.96	571.0
2.91	0.116	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.092	0.186	fixation	n/a	234.5	78.8	790.0	n/a	n/a	n/a	n/a
3.28	0.022	saccade	n/a	234.7	77.3	n/a	292.7	89.1	2.36	168.0
3.304	0.27	fixation	n/a	292.6	88.2	822.0	n/a	n/a	n/a	n/a
3.576	0.04	saccade	n/a	294.9	91.0	n/a	444.1	239.7	8.49	458.0
3.618	0.314	fixation	n/a	452.6	243.5	911.0	n/a	n/a	n/a	n/a
3.934	0.31	saccade	n/a	453.6	249.3	n/a	347.9	151.6	5.81	646.0
3.952	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.968	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.97	0.208	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.246	0.172	fixation	n/a	350.6	153.5	767.0	n/a	n/a	n/a	n/a
4.42	0.05	saccade	n/a	353.6	155.0	n/a	172.7	97.0	7.57	403.0
4.472	0.118	fixation	n/a	157.7	94.5	782.0	n/a	n/a	n/a	n/a
4.592	0.02	saccade	n/a	157.2	95.7	n/a	151.3	78.6	0.73	102.0
4.614	0.076	fixation	n/a	150.6	80.3	796.0	n/a	n/a	n/a	n/a
4.692	0.02	saccade	n/a	150.4	80.7	n/a	200.6	73.2	2.0	161.0
4.714	0.122	fixation	n/a	200.0	78.3	823.0	n/a	n/a	n/a	n/a
4.838	0.052	saccade	n/a	201.1	80.5	n/a	438.7	87.2	9.49	420.0
4.892	0.128	fixation	n/a	456.2	92.7	863.0	n/a	n/a	n/a	n/a
5.022	0.022	saccade	n/a	457.7	96.2	n/a	517.5	103.0	2.41	211.0
