onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.035	0.088	fixation	n/a	191.0	373.0	941.0	n/a	n/a	n/a	n/a
2.07	0.0	trigger_114	114	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.072	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.084	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.125	0.018	saccade	n/a	192.7	373.2	n/a	154.2	379.4	1.51	135.0
2.145	0.15	fixation	n/a	159.0	382.1	938.0	n/a	n/a	n/a	n/a
2.297	0.03	saccade	n/a	160.1	386.7	n/a	285.6	378.5	4.89	300.0
2.329	0.196	fixation	n/a	287.6	381.5	901.0	n/a	n/a	n/a	n/a
2.527	0.172	saccade	n/a	291.7	383.5	n/a	394.6	254.8	6.55	717.0
2.553	0.078	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.701	0.148	fixation	n/a	398.7	268.7	883.0	n/a	n/a	n/a	n/a
2.851	0.04	saccade	n/a	399.2	271.9	n/a	301.8	270.2	3.89	302.0
2.893	0.186	fixation	n/a	290.4	270.5	896.0	n/a	n/a	n/a	n/a
3.081	0.036	saccade	n/a	290.6	271.4	n/a	213.6	270.9	3.05	260.0
3.119	0.266	fixation	n/a	202.6	270.3	885.0	n/a	n/a	n/a	n/a
3.387	0.656	saccade	n/a	206.2	276.2	n/a	227.1	403.9	5.1	766.0
3.419	0.548	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.045	0.09	fixation	n/a	229.0	409.8	958.0	n/a	n/a	n/a	n/a
4.137	0.022	saccade	n/a	227.6	409.8	n/a	169.5	388.9	2.39	193.0
4.161	0.162	fixation	n/a	172.6	394.0	989.0	n/a	n/a	n/a	n/a
4.325	0.064	saccade	n/a	172.6	394.4	n/a	165.4	188.1	8.14	431.0
4.391	0.038	fixation	n/a	166.7	192.9	891.0	n/a	n/a	n/a	n/a
4.431	0.054	saccade	n/a	166.9	194.0	n/a	140.5	81.7	4.63	384.0
4.487	0.1	fixation	n/a	142.9	90.8	820.0	n/a	n/a	n/a	n/a
