onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.054	0.174	fixation	n/a	273.5	347.9	904.0	n/a	n/a	n/a	n/a
2.082	0.0	trigger_118	118	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.086	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.096	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.23	0.022	saccade	n/a	271.9	344.4	n/a	213.2	389.3	2.9	238.0
2.254	0.146	fixation	n/a	221.9	385.1	933.0	n/a	n/a	n/a	n/a
2.402	0.024	saccade	n/a	221.3	383.9	n/a	146.3	389.9	2.91	233.0
2.428	0.15	fixation	n/a	152.4	391.3	943.0	n/a	n/a	n/a	n/a
2.58	0.044	saccade	n/a	151.2	391.6	n/a	291.6	388.3	5.45	308.0
2.626	0.17	fixation	n/a	305.9	390.6	945.0	n/a	n/a	n/a	n/a
2.798	0.182	saccade	n/a	308.2	393.9	n/a	265.4	194.6	8.12	489.0
2.83	0.086	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.982	0.204	fixation	n/a	264.8	197.8	891.0	n/a	n/a	n/a	n/a
3.188	0.03	saccade	n/a	265.4	197.3	n/a	245.6	98.4	4.09	299.0
3.22	0.276	fixation	n/a	245.7	102.0	898.0	n/a	n/a	n/a	n/a
3.336	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.35	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.498	0.024	saccade	n/a	249.8	105.2	n/a	210.5	96.0	1.6	113.0
3.524	0.152	fixation	n/a	217.7	95.6	928.0	n/a	n/a	n/a	n/a
3.678	0.028	saccade	n/a	218.7	94.3	n/a	312.5	95.0	3.74	234.0
3.708	0.192	fixation	n/a	307.5	94.3	951.0	n/a	n/a	n/a	n/a
3.902	0.04	saccade	n/a	311.0	97.1	n/a	232.5	94.0	3.14	242.0
3.944	0.274	fixation	n/a	223.4	98.6	925.0	n/a	n/a	n/a	n/a
4.22	0.104	saccade	n/a	226.3	108.5	n/a	237.8	117.7	0.59	517.0
4.326	0.042	fixation	n/a	238.9	120.7	916.0	n/a	n/a	n/a	n/a
4.37	0.038	saccade	n/a	239.6	121.3	n/a	149.5	87.0	3.82	380.0
4.41	0.21	fixation	n/a	141.3	82.4	904.0	n/a	n/a	n/a	n/a
4.622	0.016	saccade	n/a	141.9	83.1	n/a	177.7	87.5	1.42	132.0
4.64	0.252	fixation	n/a	173.6	87.9	938.0	n/a	n/a	n/a	n/a
4.894	0.038	saccade	n/a	176.3	86.9	n/a	271.0	93.0	3.77	257.0
4.934	0.176	fixation	n/a	281.7	96.4	967.0	n/a	n/a	n/a	n/a
5.112	0.018	saccade	n/a	282.3	97.5	n/a	324.3	97.0	1.68	137.0
5.132	0.142	fixation	n/a	319.0	99.9	968.0	n/a	n/a	n/a	n/a
5.276	0.026	saccade	n/a	317.3	104.4	n/a	395.1	96.7	3.15	199.0
5.304	0.204	fixation	n/a	393.7	95.9	959.0	n/a	n/a	n/a	n/a
5.51	0.06	saccade	n/a	394.4	94.1	n/a	144.8	93.6	9.9	398.0
5.572	0.296	fixation	n/a	144.0	91.6	951.0	n/a	n/a	n/a	n/a
5.688	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.696	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.87	0.028	saccade	n/a	141.8	90.2	n/a	235.1	88.8	3.68	238.0
5.9	0.21	fixation	n/a	237.8	90.6	970.0	n/a	n/a	n/a	n/a
6.112	0.026	saccade	n/a	240.2	91.1	n/a	330.4	89.6	3.61	236.0
6.14	0.156	fixation	n/a	330.4	92.9	959.0	n/a	n/a	n/a	n/a
6.298	0.022	saccade	n/a	329.1	91.9	n/a	392.9	90.6	2.57	201.0
6.322	0.17	fixation	n/a	388.4	93.9	929.0	n/a	n/a	n/a	n/a
6.494	0.026	saccade	n/a	388.2	93.8	n/a	477.1	97.5	3.58	251.0
6.522	0.142	fixation	n/a	474.6	98.6	902.0	n/a	n/a	n/a	n/a
6.666	0.018	saccade	n/a	474.1	97.1	n/a	444.4	98.9	1.2	128.0
6.686	0.104	fixation	n/a	452.0	99.5	891.0	n/a	n/a	n/a	n/a
6.792	0.066	saccade	n/a	451.4	97.7	n/a	133.6	134.8	12.65	409.0
6.86	0.17	fixation	n/a	134.8	140.9	883.0	n/a	n/a	n/a	n/a
7.032	0.04	saccade	n/a	135.6	143.0	n/a	254.8	145.9	4.69	305.0
7.074	0.152	fixation	n/a	267.0	149.0	904.0	n/a	n/a	n/a	n/a
7.228	0.018	saccade	n/a	266.5	148.6	n/a	308.8	154.3	1.71	149.0
7.248	0.066	fixation	n/a	304.6	153.3	911.0	n/a	n/a	n/a	n/a
7.316	0.044	saccade	n/a	305.1	153.8	n/a	443.5	156.5	5.56	289.0
7.362	0.134	fixation	n/a	456.2	157.7	920.0	n/a	n/a	n/a	n/a
7.498	0.02	saccade	n/a	456.1	158.8	n/a	502.8	160.0	1.87	151.0
7.52	0.332	fixation	n/a	502.6	160.9	898.0	n/a	n/a	n/a	n/a
7.56	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.57	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.854	0.062	saccade	n/a	504.4	161.1	n/a	186.5	68.0	13.17	442.0
7.918	0.044	fixation	n/a	175.3	69.5	821.0	n/a	n/a	n/a	n/a
7.964	0.036	saccade	n/a	176.4	70.0	n/a	113.6	72.4	2.46	257.0
8.002	0.134	fixation	n/a	103.9	72.8	799.0	n/a	n/a	n/a	n/a
8.138	0.024	saccade	n/a	104.6	73.9	n/a	178.8	74.0	2.89	193.0
8.164	0.116	fixation	n/a	182.7	72.5	786.0	n/a	n/a	n/a	n/a
8.282	0.036	saccade	n/a	184.5	73.4	n/a	290.7	88.1	4.26	228.0
8.32	0.17	fixation	n/a	290.4	90.2	829.0	n/a	n/a	n/a	n/a
8.492	0.026	saccade	n/a	292.1	92.2	n/a	360.7	93.1	2.76	189.0
8.52	0.13	fixation	n/a	354.2	93.0	863.0	n/a	n/a	n/a	n/a
8.652	0.026	saccade	n/a	353.2	93.3	n/a	432.2	101.4	3.2	220.0
8.68	0.282	fixation	n/a	435.6	101.2	874.0	n/a	n/a	n/a	n/a
8.964	0.014	saccade	n/a	436.6	101.7	n/a	464.7	104.5	1.14	105.0
8.98	0.082	fixation	n/a	462.9	104.4	883.0	n/a	n/a	n/a	n/a
9.064	0.028	saccade	n/a	464.7	103.7	n/a	545.7	105.0	3.24	229.0
9.094	0.308	fixation	n/a	543.6	102.9	871.0	n/a	n/a	n/a	n/a
9.404	0.05	saccade	n/a	543.0	100.6	n/a	375.6	79.8	6.76	329.0
9.456	0.128	fixation	n/a	362.7	82.1	873.0	n/a	n/a	n/a	n/a
9.48	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.494	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.586	0.05	saccade	n/a	362.3	82.1	n/a	187.5	73.4	6.97	311.0
9.638	0.166	fixation	n/a	172.2	69.7	849.0	n/a	n/a	n/a	n/a
