onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.054	0.07	fixation	n/a	89.4	23.0	1144.0	n/a	n/a	n/a	n/a
2.088	0.0	trigger_102	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.092	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.106	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.126	0.064	saccade	n/a	89.9	26.3	n/a	372.0	266.9	14.68	477.0
2.192	0.174	fixation	n/a	379.5	276.6	1242.0	n/a	n/a	n/a	n/a
2.368	0.018	saccade	n/a	379.8	277.5	n/a	390.9	312.9	1.49	124.0
2.388	1.044	fixation	n/a	399.0	317.6	973.0	n/a	n/a	n/a	n/a
3.434	0.006	saccade	n/a	400.8	314.1	n/a	408.0	309.2	0.35	50.0
3.442	0.35	fixation	n/a	412.0	316.6	943.0	n/a	n/a	n/a	n/a
3.794	0.008	saccade	n/a	410.8	319.0	n/a	398.9	317.6	0.48	61.0
3.804	0.162	fixation	n/a	400.0	318.4	853.0	n/a	n/a	n/a	n/a
3.968	0.064	saccade	n/a	400.5	318.3	n/a	26.2	409.0	14.8	379.0
4.034	0.244	fixation	n/a	28.4	400.3	884.0	n/a	n/a	n/a	n/a
4.28	0.052	saccade	n/a	31.0	398.2	n/a	188.9	120.7	12.44	417.0
4.334	0.166	fixation	n/a	192.2	124.0	912.0	n/a	n/a	n/a	n/a
4.502	0.018	saccade	n/a	191.5	126.4	n/a	152.5	96.7	1.95	146.0
4.522	0.166	fixation	n/a	141.6	97.2	933.0	n/a	n/a	n/a	n/a
4.69	0.012	saccade	n/a	138.8	95.0	n/a	118.9	94.8	0.77	76.0
4.704	0.152	fixation	n/a	118.1	96.5	965.0	n/a	n/a	n/a	n/a
4.858	0.018	saccade	n/a	117.1	95.9	n/a	154.9	91.1	1.49	110.0
4.878	0.118	fixation	n/a	164.5	91.2	944.0	n/a	n/a	n/a	n/a
4.998	0.078	saccade	n/a	166.4	97.0	n/a	208.2	138.4	2.35	628.0
5.078	0.036	fixation	n/a	209.3	121.0	893.0	n/a	n/a	n/a	n/a
5.116	0.132	saccade	n/a	207.4	123.2	n/a	176.6	104.4	1.43	771.0
5.144	0.068	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.25	0.15	fixation	n/a	178.5	92.2	906.0	n/a	n/a	n/a	n/a
5.402	0.006	saccade	n/a	175.1	86.1	n/a	166.7	86.9	0.33	48.0
5.41	0.136	fixation	n/a	164.9	87.5	942.0	n/a	n/a	n/a	n/a
5.548	0.012	saccade	n/a	167.2	88.2	n/a	190.0	83.4	0.92	85.0
5.562	0.192	fixation	n/a	197.1	86.7	926.0	n/a	n/a	n/a	n/a
5.756	0.02	saccade	n/a	198.6	87.4	n/a	246.9	86.9	1.92	123.0
5.778	0.246	fixation	n/a	253.8	88.0	963.0	n/a	n/a	n/a	n/a
6.026	0.006	saccade	n/a	251.9	86.0	n/a	261.7	85.4	0.39	58.0
6.034	0.602	fixation	n/a	274.0	84.7	1031.0	n/a	n/a	n/a	n/a
6.638	0.006	saccade	n/a	275.8	82.4	n/a	267.6	81.9	0.33	47.0
6.646	0.254	fixation	n/a	261.9	83.9	1092.0	n/a	n/a	n/a	n/a
6.902	0.026	saccade	n/a	261.8	84.6	n/a	328.0	85.8	2.65	126.0
6.93	0.306	fixation	n/a	329.4	86.0	1102.0	n/a	n/a	n/a	n/a
7.238	0.02	saccade	n/a	330.4	88.1	n/a	369.9	84.8	1.6	118.0
7.26	0.154	fixation	n/a	384.9	85.8	1120.0	n/a	n/a	n/a	n/a
7.416	0.014	saccade	n/a	386.3	87.0	n/a	415.4	83.4	1.18	100.0
7.432	0.236	fixation	n/a	413.0	86.0	1120.0	n/a	n/a	n/a	n/a
7.67	0.022	saccade	n/a	412.8	85.6	n/a	477.7	88.5	2.61	162.0
7.694	0.426	fixation	n/a	484.6	94.7	1074.0	n/a	n/a	n/a	n/a
8.122	0.022	saccade	n/a	482.6	98.2	n/a	534.4	100.1	2.08	120.0
8.146	0.296	fixation	n/a	546.9	100.8	1032.0	n/a	n/a	n/a	n/a
8.444	0.018	saccade	n/a	545.8	100.1	n/a	581.2	102.6	1.41	106.0
8.464	0.188	fixation	n/a	590.3	102.5	1031.0	n/a	n/a	n/a	n/a
8.654	0.062	saccade	n/a	589.5	100.2	n/a	102.0	155.6	19.17	477.0
8.718	0.308	fixation	n/a	110.3	156.2	1107.0	n/a	n/a	n/a	n/a
9.028	0.022	saccade	n/a	109.8	156.9	n/a	179.0	147.4	2.72	188.0
9.052	0.174	fixation	n/a	186.5	149.6	1088.0	n/a	n/a	n/a	n/a
9.228	0.008	saccade	n/a	185.9	148.4	n/a	176.0	149.2	0.39	48.0
9.238	0.144	fixation	n/a	174.9	149.0	1097.0	n/a	n/a	n/a	n/a
9.384	0.014	saccade	n/a	174.6	147.0	n/a	200.5	146.7	1.02	78.0
9.4	0.312	fixation	n/a	200.3	145.5	1122.0	n/a	n/a	n/a	n/a
9.714	0.014	saccade	n/a	199.7	143.3	n/a	173.2	142.1	1.05	88.0
9.73	0.364	fixation	n/a	167.4	141.4	1132.0	n/a	n/a	n/a	n/a
10.096	0.014	saccade	n/a	166.6	140.8	n/a	190.1	141.1	0.92	73.0
10.112	0.224	fixation	n/a	196.4	140.8	1145.0	n/a	n/a	n/a	n/a
10.248	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.254	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.338	0.022	saccade	n/a	194.0	141.2	n/a	246.2	137.8	2.08	148.0
10.362	0.206	fixation	n/a	257.4	141.4	1121.0	n/a	n/a	n/a	n/a
10.57	0.032	saccade	n/a	258.0	143.7	n/a	361.7	140.7	4.16	185.0
10.604	0.138	fixation	n/a	364.3	143.0	1058.0	n/a	n/a	n/a	n/a
10.744	0.014	saccade	n/a	364.1	146.7	n/a	341.1	146.7	0.93	72.0
10.76	0.228	fixation	n/a	341.0	151.7	984.0	n/a	n/a	n/a	n/a
10.99	0.022	saccade	n/a	341.1	154.9	n/a	412.8	155.1	2.89	197.0
11.014	0.242	fixation	n/a	418.9	155.4	944.0	n/a	n/a	n/a	n/a
11.258	0.012	saccade	n/a	420.1	156.1	n/a	442.5	156.9	0.9	90.0
11.272	0.154	fixation	n/a	447.5	156.5	933.0	n/a	n/a	n/a	n/a
11.428	0.034	saccade	n/a	447.7	156.0	n/a	562.8	163.9	4.61	211.0
11.464	0.284	fixation	n/a	558.1	161.8	934.0	n/a	n/a	n/a	n/a
11.75	0.024	saccade	n/a	555.9	161.4	n/a	482.4	149.9	2.98	171.0
11.776	0.346	fixation	n/a	471.5	151.9	940.0	n/a	n/a	n/a	n/a
12.124	0.01	saccade	n/a	467.6	152.9	n/a	453.6	150.9	0.57	60.0
12.136	0.13	fixation	n/a	450.4	151.6	978.0	n/a	n/a	n/a	n/a
12.268	0.034	saccade	n/a	448.2	153.1	n/a	560.6	159.5	4.49	212.0
12.304	0.21	fixation	n/a	558.4	160.8	995.0	n/a	n/a	n/a	n/a
12.516	0.058	saccade	n/a	557.4	163.8	n/a	138.5	130.7	16.55	444.0
12.576	0.11	fixation	n/a	146.3	130.6	1011.0	n/a	n/a	n/a	n/a
12.688	0.018	saccade	n/a	146.2	131.2	n/a	120.3	103.5	1.5	131.0
12.708	0.23	fixation	n/a	124.9	104.4	985.0	n/a	n/a	n/a	n/a
12.94	0.022	saccade	n/a	125.5	105.0	n/a	169.3	100.7	1.72	110.0
12.964	0.274	fixation	n/a	183.8	99.3	941.0	n/a	n/a	n/a	n/a
13.24	0.016	saccade	n/a	186.5	97.2	n/a	226.2	94.8	1.57	121.0
13.258	0.232	fixation	n/a	238.1	91.4	992.0	n/a	n/a	n/a	n/a
13.492	0.008	saccade	n/a	240.5	88.2	n/a	252.0	88.0	0.46	54.0
13.502	0.324	fixation	n/a	255.1	86.3	1057.0	n/a	n/a	n/a	n/a
13.828	0.008	saccade	n/a	256.5	87.0	n/a	267.5	86.7	0.44	55.0
13.838	0.366	fixation	n/a	267.7	86.5	1052.0	n/a	n/a	n/a	n/a
14.206	0.026	saccade	n/a	266.7	87.4	n/a	331.6	90.2	2.6	125.0
14.234	0.148	fixation	n/a	334.9	88.5	1053.0	n/a	n/a	n/a	n/a
14.384	0.024	saccade	n/a	334.4	88.4	n/a	261.8	83.4	2.91	160.0
14.41	0.184	fixation	n/a	249.9	88.0	1090.0	n/a	n/a	n/a	n/a
14.596	0.034	saccade	n/a	249.1	86.9	n/a	369.1	85.7	4.81	239.0
