onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.02	0.058	fixation	n/a	401.3	284.5	314.0	n/a	n/a	n/a	n/a
2.056	0.0	trigger_101	101	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.058	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.064	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.08	0.022	saccade	n/a	400.6	285.6	n/a	405.7	333.5	1.93	140.0
2.104	0.602	fixation	n/a	401.2	320.6	302.0	n/a	n/a	n/a	n/a
2.708	0.006	saccade	n/a	401.0	315.0	n/a	390.9	316.4	0.41	62.0
2.716	0.134	fixation	n/a	392.7	312.0	275.0	n/a	n/a	n/a	n/a
2.852	0.016	saccade	n/a	394.4	311.1	n/a	408.8	311.9	0.57	74.0
2.87	0.436	fixation	n/a	404.2	310.4	274.0	n/a	n/a	n/a	n/a
3.308	0.188	saccade	n/a	401.0	310.0	n/a	412.9	338.4	1.23	143.0
3.336	0.138	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.498	0.57	fixation	n/a	399.1	318.3	269.0	n/a	n/a	n/a	n/a
4.07	0.176	saccade	n/a	410.4	321.3	n/a	407.4	307.0	0.58	158.0
4.08	0.152	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.248	0.172	fixation	n/a	400.6	305.1	238.0	n/a	n/a	n/a	n/a
4.422	0.05	saccade	n/a	398.3	303.0	n/a	270.9	117.7	9.05	600.0
4.474	0.116	fixation	n/a	262.4	106.2	238.0	n/a	n/a	n/a	n/a
4.592	0.03	saccade	n/a	263.1	104.0	n/a	168.9	86.3	3.8	264.0
4.624	0.346	fixation	n/a	178.2	78.0	237.0	n/a	n/a	n/a	n/a
4.972	0.026	saccade	n/a	179.0	74.7	n/a	265.4	95.8	3.53	278.0
5.0	0.192	fixation	n/a	259.1	94.3	233.0	n/a	n/a	n/a	n/a
5.194	0.024	saccade	n/a	260.3	92.2	n/a	326.1	95.4	2.64	191.0
5.22	0.192	fixation	n/a	320.0	95.7	228.0	n/a	n/a	n/a	n/a
5.254	0.0	trigger_13	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.414	0.024	saccade	n/a	320.6	95.5	n/a	414.1	89.3	3.77	268.0
5.44	0.19	fixation	n/a	409.0	88.8	220.0	n/a	n/a	n/a	n/a
5.632	0.026	saccade	n/a	410.2	90.6	n/a	481.5	89.8	2.87	188.0
5.66	0.17	fixation	n/a	471.6	90.5	225.0	n/a	n/a	n/a	n/a
5.832	0.026	saccade	n/a	472.8	92.8	n/a	380.8	92.2	3.7	256.0
5.86	0.21	fixation	n/a	389.7	94.0	235.0	n/a	n/a	n/a	n/a
6.072	0.04	saccade	n/a	388.7	95.0	n/a	445.9	91.8	2.31	198.0
6.114	0.214	fixation	n/a	454.9	92.9	247.0	n/a	n/a	n/a	n/a
6.33	0.024	saccade	n/a	454.2	93.7	n/a	520.6	113.1	2.78	234.0
6.356	0.56	fixation	n/a	505.8	111.7	264.0	n/a	n/a	n/a	n/a
6.918	0.056	saccade	n/a	503.1	113.7	n/a	288.5	104.1	8.61	361.0
6.976	0.492	fixation	n/a	274.7	92.6	297.0	n/a	n/a	n/a	n/a
7.47	0.042	saccade	n/a	273.7	89.4	n/a	181.2	82.0	3.68	308.0
7.514	0.202	fixation	n/a	173.9	82.4	315.0	n/a	n/a	n/a	n/a
7.718	0.016	saccade	n/a	173.9	82.7	n/a	208.1	76.8	1.37	118.0
7.736	0.196	fixation	n/a	200.8	78.4	325.0	n/a	n/a	n/a	n/a
7.934	0.056	saccade	n/a	200.8	78.9	n/a	363.0	88.3	6.49	346.0
7.992	0.148	fixation	n/a	376.3	90.9	308.0	n/a	n/a	n/a	n/a
8.142	0.046	saccade	n/a	380.0	91.0	n/a	380.7	173.2	3.36	219.0
8.19	0.15	fixation	n/a	381.9	183.0	304.0	n/a	n/a	n/a	n/a
8.342	0.03	saccade	n/a	384.5	183.8	n/a	352.6	194.7	1.36	158.0
