onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
1.989	0.076	fixation	n/a	398.8	304.6	386.0	n/a	n/a	n/a	n/a
2.026	0.0	trigger_92	92	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.028	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.034	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.067	0.026	saccade	n/a	398.6	306.0	n/a	402.8	308.4	0.19	94.0
2.095	0.92	fixation	n/a	393.8	306.9	386.0	n/a	n/a	n/a	n/a
3.017	0.02	saccade	n/a	392.8	309.2	n/a	360.4	288.4	1.54	134.0
3.039	0.392	fixation	n/a	367.4	293.5	403.0	n/a	n/a	n/a	n/a
3.433	0.022	saccade	n/a	366.7	291.0	n/a	399.2	293.4	1.3	129.0
3.457	0.342	fixation	n/a	389.9	292.4	391.0	n/a	n/a	n/a	n/a
3.801	0.028	saccade	n/a	393.2	289.1	n/a	377.1	296.3	0.71	138.0
3.831	0.414	fixation	n/a	372.9	288.7	373.0	n/a	n/a	n/a	n/a
4.247	0.038	saccade	n/a	375.1	289.0	n/a	314.5	163.2	5.64	344.0
4.287	0.17	fixation	n/a	318.0	167.9	329.0	n/a	n/a	n/a	n/a
4.459	0.05	saccade	n/a	317.9	166.5	n/a	189.3	82.9	6.14	283.0
4.511	0.028	fixation	n/a	182.5	85.4	317.0	n/a	n/a	n/a	n/a
4.541	0.026	saccade	n/a	180.2	85.4	n/a	164.3	49.7	1.57	144.0
4.569	0.134	fixation	n/a	174.3	46.4	299.0	n/a	n/a	n/a	n/a
4.705	0.25	saccade	n/a	174.2	48.5	n/a	150.3	75.4	1.43	182.0
4.735	0.202	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.957	0.154	fixation	n/a	157.6	59.5	278.0	n/a	n/a	n/a	n/a
5.113	0.022	saccade	n/a	159.9	59.0	n/a	133.6	49.1	1.1	142.0
5.137	0.24	fixation	n/a	134.1	48.5	290.0	n/a	n/a	n/a	n/a
5.379	0.016	saccade	n/a	134.3	50.4	n/a	128.4	51.8	0.24	51.0
5.397	0.226	fixation	n/a	128.7	51.8	299.0	n/a	n/a	n/a	n/a
5.625	0.012	saccade	n/a	127.6	53.0	n/a	154.7	51.8	1.06	106.0
5.639	0.19	fixation	n/a	146.6	52.5	309.0	n/a	n/a	n/a	n/a
5.831	0.016	saccade	n/a	147.1	54.9	n/a	139.7	56.9	0.3	61.0
5.849	0.498	fixation	n/a	142.4	58.1	333.0	n/a	n/a	n/a	n/a
6.349	0.022	saccade	n/a	139.0	62.4	n/a	162.5	63.6	0.92	135.0
6.373	0.16	fixation	n/a	159.4	65.7	362.0	n/a	n/a	n/a	n/a
6.535	0.026	saccade	n/a	159.9	67.0	n/a	216.0	66.0	2.21	206.0
6.563	0.218	fixation	n/a	207.7	66.1	375.0	n/a	n/a	n/a	n/a
6.783	0.02	saccade	n/a	210.2	66.2	n/a	263.0	64.1	2.1	167.0
6.805	0.18	fixation	n/a	252.6	65.4	364.0	n/a	n/a	n/a	n/a
6.987	0.024	saccade	n/a	253.7	64.3	n/a	343.1	58.5	3.58	267.0
7.013	0.196	fixation	n/a	332.6	59.4	349.0	n/a	n/a	n/a	n/a
7.211	0.026	saccade	n/a	334.2	59.8	n/a	405.7	61.4	2.88	250.0
7.239	0.204	fixation	n/a	396.9	61.2	318.0	n/a	n/a	n/a	n/a
7.445	0.01	saccade	n/a	401.0	62.9	n/a	414.9	60.5	0.57	58.0
7.457	0.11	fixation	n/a	413.6	63.6	320.0	n/a	n/a	n/a	n/a
7.569	0.036	saccade	n/a	414.8	64.2	n/a	363.5	64.3	2.07	236.0
7.607	0.184	fixation	n/a	356.0	64.1	334.0	n/a	n/a	n/a	n/a
7.793	0.026	saccade	n/a	355.6	64.5	n/a	453.2	63.2	3.92	283.0
7.821	0.198	fixation	n/a	445.0	65.9	345.0	n/a	n/a	n/a	n/a
8.021	0.024	saccade	n/a	443.5	63.9	n/a	515.8	65.6	2.9	210.0
8.047	0.252	fixation	n/a	507.0	66.5	344.0	n/a	n/a	n/a	n/a
8.301	0.032	saccade	n/a	505.3	67.4	n/a	545.1	68.7	1.59	198.0
8.335	0.194	fixation	n/a	545.7	68.0	352.0	n/a	n/a	n/a	n/a
8.531	0.07	saccade	n/a	547.0	68.8	n/a	188.2	100.1	14.27	457.0
8.603	0.134	fixation	n/a	170.1	98.7	361.0	n/a	n/a	n/a	n/a
8.739	0.026	saccade	n/a	167.8	100.0	n/a	106.5	147.2	3.05	241.0
8.767	0.19	fixation	n/a	113.8	135.7	373.0	n/a	n/a	n/a	n/a
8.959	0.028	saccade	n/a	114.8	136.5	n/a	194.6	127.2	3.15	184.0
8.989	0.168	fixation	n/a	182.8	126.7	350.0	n/a	n/a	n/a	n/a
9.159	0.02	saccade	n/a	185.0	126.7	n/a	253.3	117.7	2.73	235.0
9.181	0.186	fixation	n/a	257.9	120.4	329.0	n/a	n/a	n/a	n/a
9.369	0.044	saccade	n/a	259.1	120.2	n/a	360.1	116.3	4.05	294.0
9.415	0.146	fixation	n/a	374.0	117.3	310.0	n/a	n/a	n/a	n/a
9.563	0.012	saccade	n/a	375.1	117.9	n/a	348.9	116.0	1.06	99.0
9.577	0.13	fixation	n/a	352.4	119.1	304.0	n/a	n/a	n/a	n/a
9.709	0.05	saccade	n/a	352.9	118.8	n/a	532.3	117.9	7.2	414.0
9.761	0.2	fixation	n/a	547.5	120.7	310.0	n/a	n/a	n/a	n/a
9.963	0.034	saccade	n/a	548.3	120.7	n/a	579.5	121.7	1.24	152.0
9.999	0.082	fixation	n/a	585.9	122.4	311.0	n/a	n/a	n/a	n/a
10.083	0.07	saccade	n/a	587.6	121.7	n/a	156.4	193.7	17.19	556.0
10.155	0.206	fixation	n/a	138.2	194.3	322.0	n/a	n/a	n/a	n/a
10.363	0.032	saccade	n/a	136.8	197.0	n/a	257.1	180.0	4.79	290.0
10.397	0.176	fixation	n/a	257.7	181.0	318.0	n/a	n/a	n/a	n/a
10.575	0.016	saccade	n/a	262.9	182.1	n/a	298.2	175.6	1.43	125.0
10.593	0.1	fixation	n/a	292.7	175.5	308.0	n/a	n/a	n/a	n/a
