onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.068	0.276	fixation	n/a	410.8	264.9	647.0	n/a	n/a	n/a	n/a
2.104	0.0	trigger_114	114	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.104	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.12	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.346	0.042	saccade	n/a	413.1	266.9	n/a	224.1	132.4	9.29	416.0
2.39	0.562	fixation	n/a	221.3	126.0	681.0	n/a	n/a	n/a	n/a
2.954	0.018	saccade	n/a	218.9	125.2	n/a	181.5	96.2	1.89	164.0
2.974	0.604	fixation	n/a	190.0	99.8	735.0	n/a	n/a	n/a	n/a
3.58	0.058	saccade	n/a	197.3	102.7	n/a	395.2	265.6	10.26	622.0
3.64	0.476	fixation	n/a	397.0	267.2	779.0	n/a	n/a	n/a	n/a
4.118	0.03	saccade	n/a	397.6	268.9	n/a	447.5	265.8	2.0	243.0
4.15	0.178	fixation	n/a	450.6	267.2	713.0	n/a	n/a	n/a	n/a
4.33	0.052	saccade	n/a	451.3	266.1	n/a	244.1	173.3	9.08	470.0
4.384	0.062	fixation	n/a	236.2	170.3	697.0	n/a	n/a	n/a	n/a
4.448	0.026	saccade	n/a	237.0	171.9	n/a	149.0	104.4	4.41	320.0
4.476	0.112	fixation	n/a	164.4	100.7	673.0	n/a	n/a	n/a	n/a
4.59	0.026	saccade	n/a	162.6	95.7	n/a	154.9	86.2	0.49	90.0
4.618	0.2	fixation	n/a	148.8	84.9	672.0	n/a	n/a	n/a	n/a
4.82	0.036	saccade	n/a	149.6	86.0	n/a	273.4	83.0	4.89	471.0
4.858	0.146	fixation	n/a	291.4	81.4	689.0	n/a	n/a	n/a	n/a
5.006	0.044	saccade	n/a	293.1	78.9	n/a	412.9	70.0	4.82	439.0
5.052	0.144	fixation	n/a	415.7	71.1	699.0	n/a	n/a	n/a	n/a
5.198	0.036	saccade	n/a	420.9	75.1	n/a	524.7	72.8	4.17	419.0
5.236	0.136	fixation	n/a	539.3	75.6	712.0	n/a	n/a	n/a	n/a
5.374	0.032	saccade	n/a	537.9	73.7	n/a	596.7	84.1	2.37	284.0
5.408	0.032	fixation	n/a	604.2	85.2	708.0	n/a	n/a	n/a	n/a
5.442	0.052	saccade	n/a	606.7	86.7	n/a	299.0	135.4	12.42	564.0
5.496	0.17	fixation	n/a	291.7	143.6	714.0	n/a	n/a	n/a	n/a
5.668	0.044	saccade	n/a	288.3	143.2	n/a	398.2	132.8	4.43	395.0
5.714	0.134	fixation	n/a	397.7	132.5	730.0	n/a	n/a	n/a	n/a
5.85	0.032	saccade	n/a	398.6	131.0	n/a	494.7	133.8	3.87	438.0
5.884	0.108	fixation	n/a	506.7	137.4	748.0	n/a	n/a	n/a	n/a
5.994	0.054	saccade	n/a	506.7	135.4	n/a	237.0	190.7	10.98	450.0
6.05	0.172	fixation	n/a	229.3	193.5	745.0	n/a	n/a	n/a	n/a
6.224	0.02	saccade	n/a	228.9	193.7	n/a	148.0	205.3	3.22	274.0
6.246	0.128	fixation	n/a	149.8	202.6	732.0	n/a	n/a	n/a	n/a
6.376	0.23	saccade	n/a	153.3	209.8	n/a	348.1	220.4	7.73	876.0
6.428	0.15	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.608	0.028	fixation	n/a	349.2	220.3	689.0	n/a	n/a	n/a	n/a
6.638	0.016	saccade	n/a	351.1	229.6	n/a	344.7	276.5	1.91	187.0
6.656	0.202	fixation	n/a	332.1	275.9	737.0	n/a	n/a	n/a	n/a
6.86	0.024	saccade	n/a	334.7	267.4	n/a	273.8	274.4	2.44	196.0
6.886	0.07	fixation	n/a	278.0	268.9	766.0	n/a	n/a	n/a	n/a
6.958	0.146	saccade	n/a	278.8	276.3	n/a	262.2	194.1	3.38	735.0
7.004	0.072	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.106	0.09	fixation	n/a	267.5	187.5	653.0	n/a	n/a	n/a	n/a
7.198	0.026	saccade	n/a	265.4	182.8	n/a	364.3	137.0	4.38	361.0
7.226	0.176	fixation	n/a	366.6	142.3	647.0	n/a	n/a	n/a	n/a
7.268	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.282	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
