onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.028	0.228	fixation	n/a	408.3	298.7	775.0	n/a	n/a	n/a	n/a
2.034	0.0	trigger_102	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.034	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.042	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.258	0.02	saccade	n/a	411.3	299.6	n/a	433.0	303.7	0.88	122.0
2.28	1.916	fixation	n/a	421.3	305.4	751.0	n/a	n/a	n/a	n/a
4.198	0.042	saccade	n/a	426.9	313.6	n/a	318.6	146.3	8.03	385.0
4.242	0.116	fixation	n/a	324.4	146.3	715.0	n/a	n/a	n/a	n/a
4.36	0.038	saccade	n/a	324.8	142.7	n/a	168.9	79.2	6.7	382.0
4.4	0.124	fixation	n/a	176.6	78.6	701.0	n/a	n/a	n/a	n/a
4.526	0.02	saccade	n/a	178.5	77.7	n/a	137.8	70.7	1.62	151.0
4.548	0.166	fixation	n/a	147.1	71.7	708.0	n/a	n/a	n/a	n/a
4.716	0.018	saccade	n/a	149.9	76.1	n/a	196.4	70.5	1.84	170.0
4.736	0.238	fixation	n/a	194.9	72.3	718.0	n/a	n/a	n/a	n/a
4.976	0.022	saccade	n/a	199.2	72.3	n/a	282.1	75.4	3.3	337.0
5.0	0.386	fixation	n/a	279.8	75.9	705.0	n/a	n/a	n/a	n/a
5.388	0.02	saccade	n/a	280.5	77.7	n/a	339.1	81.5	2.35	231.0
5.41	0.146	fixation	n/a	336.5	82.2	699.0	n/a	n/a	n/a	n/a
5.558	0.018	saccade	n/a	337.6	80.2	n/a	383.2	86.7	1.85	181.0
5.578	0.142	fixation	n/a	377.6	82.2	688.0	n/a	n/a	n/a	n/a
5.722	0.02	saccade	n/a	377.3	80.9	n/a	443.7	79.5	2.68	250.0
