onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
1.993	0.444	fixation	n/a	239.2	440.6	926.0	n/a	n/a	n/a	n/a
2.026	0.0	trigger_110	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.03	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.068	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.439	0.052	saccade	n/a	242.8	443.8	n/a	254.1	181.9	10.34	308.0
2.493	0.336	fixation	n/a	257.0	183.1	870.0	n/a	n/a	n/a	n/a
2.831	0.022	saccade	n/a	255.1	181.6	n/a	226.1	98.8	3.56	280.0
2.855	0.28	fixation	n/a	226.1	94.8	829.0	n/a	n/a	n/a	n/a
3.137	0.02	saccade	n/a	225.7	95.8	n/a	151.5	88.6	2.94	241.0
3.159	0.306	fixation	n/a	155.8	86.0	850.0	n/a	n/a	n/a	n/a
3.467	0.032	saccade	n/a	156.8	85.3	n/a	211.9	90.6	2.18	260.0
3.501	0.352	fixation	n/a	219.6	88.7	867.0	n/a	n/a	n/a	n/a
3.855	0.188	saccade	n/a	225.0	93.0	n/a	330.5	238.1	7.23	1064.0
3.905	0.092	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.045	0.236	fixation	n/a	331.7	242.3	975.0	n/a	n/a	n/a	n/a
4.283	0.034	saccade	n/a	330.2	239.2	n/a	169.3	140.5	7.52	403.0
4.319	0.07	fixation	n/a	173.3	140.8	992.0	n/a	n/a	n/a	n/a
4.391	0.032	saccade	n/a	170.9	139.2	n/a	126.1	69.0	3.32	326.0
4.425	0.154	fixation	n/a	124.9	71.8	915.0	n/a	n/a	n/a	n/a
4.581	24.498	saccade	n/a	126.6	80.3	n/a	125.8	125.6	1.82	103.0
4.623	24.448	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.498	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.516	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.112	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.12	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.696	0.0	trigger_11	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.71	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.081	0.206	fixation	n/a	414.4	117.6	745.0	n/a	n/a	n/a	n/a
29.289	0.024	saccade	n/a	416.6	119.8	n/a	328.5	115.2	3.55	298.0
29.315	0.206	fixation	n/a	336.9	121.2	771.0	n/a	n/a	n/a	n/a
29.523	0.054	saccade	n/a	337.1	131.0	n/a	452.9	493.9	15.0	641.0
29.579	0.388	fixation	n/a	457.9	510.5	773.0	n/a	n/a	n/a	n/a
29.969	0.028	saccade	n/a	457.8	514.0	n/a	496.9	525.4	1.57	192.0
29.999	0.072	fixation	n/a	499.0	523.9	756.0	n/a	n/a	n/a	n/a
30.073	0.062	saccade	n/a	501.6	524.4	n/a	190.0	56.1	21.86	651.0
30.137	0.132	fixation	n/a	188.9	59.7	770.0	n/a	n/a	n/a	n/a
30.271	0.02	saccade	n/a	188.2	58.0	n/a	143.2	65.9	1.79	185.0
30.293	0.124	fixation	n/a	147.7	58.2	761.0	n/a	n/a	n/a	n/a
30.419	0.032	saccade	n/a	146.1	57.6	n/a	226.2	52.1	3.16	338.0
30.453	0.22	fixation	n/a	239.1	63.6	769.0	n/a	n/a	n/a	n/a
30.675	0.044	saccade	n/a	238.7	69.5	n/a	372.9	72.3	5.38	476.0
30.721	0.208	fixation	n/a	373.5	74.9	807.0	n/a	n/a	n/a	n/a
30.931	0.026	saccade	n/a	375.2	77.2	n/a	262.4	82.2	4.53	352.0
30.959	0.246	fixation	n/a	277.2	81.0	836.0	n/a	n/a	n/a	n/a
31.207	0.022	saccade	n/a	276.6	82.3	n/a	204.0	84.5	2.89	252.0
31.231	0.146	fixation	n/a	212.3	82.9	842.0	n/a	n/a	n/a	n/a
31.379	0.034	saccade	n/a	210.9	85.4	n/a	363.9	86.1	6.11	502.0
31.415	0.166	fixation	n/a	376.1	79.6	817.0	n/a	n/a	n/a	n/a
31.583	0.032	saccade	n/a	377.8	81.8	n/a	453.3	85.7	3.04	378.0
31.617	0.312	fixation	n/a	462.1	81.9	785.0	n/a	n/a	n/a	n/a
