onset	duration	trial_type	value	gaze_x	gaze_y	pupil_size	sacc_endx	sacc_endy	sacc_amplitude	sacc_peakvel
2.01	0.078	fixation	n/a	391.8	1.1	1001.0	n/a	n/a	n/a	n/a
2.044	0.0	trigger_91	91	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.046	0.0	trigger_19	19	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.05	0.0	trigger_12	12	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.09	0.076	saccade	n/a	390.7	9.7	n/a	524.0	408.1	16.7	606.0
2.168	0.136	fixation	n/a	522.3	421.3	1059.0	n/a	n/a	n/a	n/a
2.306	0.056	saccade	n/a	519.4	425.2	n/a	742.7	487.0	8.79	481.0
2.364	0.132	fixation	n/a	763.1	494.3	990.0	n/a	n/a	n/a	n/a
2.498	0.046	saccade	n/a	765.6	496.7	n/a	846.1	559.7	3.68	328.0
2.546	0.088	fixation	n/a	858.1	570.7	870.0	n/a	n/a	n/a	n/a
2.636	0.336	saccade	n/a	856.5	568.4	n/a	134.3	295.5	28.4	654.0
2.664	0.266	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2.974	0.128	fixation	n/a	136.6	281.1	1031.0	n/a	n/a	n/a	n/a
3.104	0.048	saccade	n/a	133.5	281.5	n/a	-39.0	374.5	7.38	438.0
3.154	0.464	fixation	n/a	-50.2	382.6	1171.0	n/a	n/a	n/a	n/a
3.62	0.068	saccade	n/a	-48.0	384.3	n/a	207.7	382.7	9.58	430.0
3.69	0.12	fixation	n/a	208.2	391.0	1196.0	n/a	n/a	n/a	n/a
3.812	0.092	saccade	n/a	207.1	391.9	n/a	722.9	571.7	20.53	662.0
3.906	0.098	fixation	n/a	725.3	575.1	1097.0	n/a	n/a	n/a	n/a
4.006	0.048	saccade	n/a	728.2	576.0	n/a	863.3	602.3	4.9	403.0
4.056	0.104	fixation	n/a	884.1	605.3	918.0	n/a	n/a	n/a	n/a
4.162	0.152	saccade	n/a	876.7	603.0	n/a	240.9	157.3	28.85	568.0
4.186	0.088	blink	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.316	0.068	fixation	n/a	238.2	169.2	851.0	n/a	n/a	n/a	n/a
4.386	0.034	saccade	n/a	237.3	168.0	n/a	207.4	108.2	2.7	220.0
4.422	0.13	fixation	n/a	200.0	111.0	869.0	n/a	n/a	n/a	n/a
4.554	0.028	saccade	n/a	199.7	111.5	n/a	183.4	95.3	0.92	165.0
4.584	0.152	fixation	n/a	175.1	93.3	959.0	n/a	n/a	n/a	n/a
4.738	0.034	saccade	n/a	174.4	91.9	n/a	228.1	93.2	2.12	283.0
4.774	0.094	fixation	n/a	239.6	88.5	999.0	n/a	n/a	n/a	n/a
4.87	0.038	saccade	n/a	240.0	88.8	n/a	296.3	88.6	2.25	266.0
4.91	0.21	fixation	n/a	308.8	90.0	1032.0	n/a	n/a	n/a	n/a
5.122	0.038	saccade	n/a	308.9	92.1	n/a	373.9	90.4	2.62	294.0
5.162	0.17	fixation	n/a	385.9	87.4	1096.0	n/a	n/a	n/a	n/a
5.334	0.056	saccade	n/a	387.7	87.1	n/a	229.0	79.5	6.36	402.0
5.392	0.17	fixation	n/a	224.5	79.0	1008.0	n/a	n/a	n/a	n/a
5.564	0.036	saccade	n/a	225.2	77.6	n/a	182.3	78.3	1.7	246.0
5.602	0.246	fixation	n/a	169.9	83.0	965.0	n/a	n/a	n/a	n/a
5.85	0.034	saccade	n/a	170.2	84.4	n/a	222.7	85.5	2.07	237.0
5.886	0.11	fixation	n/a	229.4	81.9	1023.0	n/a	n/a	n/a	n/a
5.998	0.044	saccade	n/a	229.1	81.7	n/a	144.8	79.1	3.32	321.0
6.018	0.0	trigger_13	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.044	0.156	fixation	n/a	128.6	83.2	1021.0	n/a	n/a	n/a	n/a
6.202	0.012	saccade	n/a	126.4	83.8	n/a	106.9	85.2	0.76	70.0
6.216	0.1	fixation	n/a	112.7	85.4	1018.0	n/a	n/a	n/a	n/a
6.318	0.036	saccade	n/a	112.4	86.3	n/a	188.4	89.9	2.97	266.0
6.356	0.164	fixation	n/a	198.1	89.5	1087.0	n/a	n/a	n/a	n/a
6.522	0.038	saccade	n/a	200.1	93.2	n/a	278.9	100.1	3.15	318.0
6.562	0.224	fixation	n/a	292.3	98.8	1169.0	n/a	n/a	n/a	n/a
6.788	0.04	saccade	n/a	292.5	100.8	n/a	375.4	93.6	3.34	298.0
6.83	0.242	fixation	n/a	389.6	88.9	1098.0	n/a	n/a	n/a	n/a
7.074	0.032	saccade	n/a	391.1	89.3	n/a	451.0	95.9	2.43	254.0
7.108	0.24	fixation	n/a	455.1	91.9	1010.0	n/a	n/a	n/a	n/a
7.35	0.024	saccade	n/a	453.9	92.5	n/a	502.1	96.4	1.94	167.0
7.376	0.256	fixation	n/a	490.8	97.0	1044.0	n/a	n/a	n/a	n/a
7.634	0.034	saccade	n/a	490.4	99.4	n/a	448.7	93.0	1.7	242.0
7.67	0.148	fixation	n/a	436.1	97.4	1128.0	n/a	n/a	n/a	n/a
7.77	0.0	trigger_15	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.776	0.0	trigger_10	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.82	0.056	saccade	n/a	434.3	97.2	n/a	196.3	91.1	9.5	468.0
7.878	0.53	fixation	n/a	179.5	92.1	1173.0	n/a	n/a	n/a	n/a
